                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8447,                 1.9984,                  2.048,                0.32496,                 0.4035,                0.32828,                0.17611,                 1.7852,                  2.019,                 2.0746,              0.0014426,              0.0014426,              0.0014426
                     36,                 1.8638,                  1.996,                 2.0656,                0.34238,                0.44368,                 0.3111,                0.14435,                 1.9896,                 2.1023,                  2.186,               0.001436,               0.001436,               0.001436
                     37,                  1.839,                 2.0079,                   2.05,                0.37453,                0.42239,                0.32191,                0.16608,                 2.0198,                 2.0454,                 2.2096,              0.0014294,              0.0014294,              0.0014294
                     38,                 1.8191,                 1.9398,                  2.035,                 0.4071,                0.38315,                0.34119,                0.17844,                 1.7076,                 1.9977,                 2.0498,              0.0014228,              0.0014228,              0.0014228
                     39,                 1.7956,                 1.9264,                 2.0376,                0.37816,                0.54745,                0.38061,                0.18914,                 1.8012,                 1.9048,                 2.0698,              0.0014161,              0.0014161,              0.0014161
                     40,                 1.7512,                 1.9234,                 1.9545,                0.34179,                0.52693,                0.35045,                0.19135,                 1.8133,                 1.8909,                 2.0694,              0.0014095,              0.0014095,              0.0014095
                     41,                 1.7628,                  1.872,                 1.9771,                 0.3349,                0.48914,                0.34186,                0.18303,                 1.7761,                 1.8642,                 2.0526,              0.0014029,              0.0014029,              0.0014029
                     42,                 1.7386,                  1.903,                 1.9211,                0.34653,                0.54678,                0.36664,                0.19446,                 1.7753,                 1.9312,                 1.9803,              0.0013963,              0.0013963,              0.0013963
                     43,                 1.8283,                 1.9333,                 1.9478,                0.35266,                0.52608,                0.35611,                0.17575,                 1.8562,                 1.8608,                 2.0567,              0.0013897,              0.0013897,              0.0013897
                     44,                  1.744,                 1.8639,                 1.9684,                0.34981,                0.44945,                0.31661,                 0.1497,                 1.9618,                 2.0311,                 2.0879,              0.0013831,              0.0013831,              0.0013831
                     45,                 1.7718,                 1.8925,                 1.9313,                 0.4772,                0.35233,                0.38832,                0.20451,                 1.7569,                  1.839,                 1.9641,              0.0013765,              0.0013765,              0.0013765
                     46,                 1.6985,                 1.7996,                 1.8934,                0.34375,                0.52262,                0.34907,                 0.1769,                 1.8025,                 1.8807,                 2.0337,              0.0013699,              0.0013699,              0.0013699
                     47,                 1.7062,                 1.8374,                 1.8761,                0.38528,                0.55299,                 0.4035,                0.21022,                 1.7531,                 1.7344,                 1.9736,              0.0013633,              0.0013633,              0.0013633
                     48,                 1.7614,                 1.8762,                  1.917,                0.34777,                0.63503,                0.36481,                0.19192,                 1.7037,                 1.8168,                 1.9788,              0.0013567,              0.0013567,              0.0013567
                     49,                 1.6099,                 1.8209,                 1.8205,                0.35719,                0.54154,                0.39564,                0.20402,                 1.7703,                 1.7907,                 2.0159,              0.0013501,              0.0013501,              0.0013501
                     50,                 1.6179,                 1.7723,                 1.8154,                0.34412,                0.62572,                 0.4004,                0.21287,                 1.7057,                 1.7473,                 1.9689,              0.0013435,              0.0013435,              0.0013435
                     51,                 1.6197,                 1.7393,                 1.8116,                0.38639,                 0.5422,                0.38183,                0.19845,                 1.7825,                 1.8241,                 2.0124,              0.0013369,              0.0013369,              0.0013369
                     52,                 1.5693,                 1.7203,                 1.7942,                0.38899,                0.51375,                0.38294,                0.20923,                 1.6457,                 1.8128,                 1.9225,              0.0013303,              0.0013303,              0.0013303
                     53,                 1.6596,                  1.806,                 1.8412,                0.34289,                0.50732,                0.36695,                0.19228,                 1.8207,                 1.8093,                 1.9938,              0.0013237,              0.0013237,              0.0013237
                     54,                 1.6361,                  1.779,                 1.8219,                0.37372,                0.63836,                 0.4214,                0.22656,                 1.6725,                 1.9138,                  1.916,              0.0013171,              0.0013171,              0.0013171
                     55,                 1.6658,                 1.8127,                 1.8159,                0.40887,                0.60357,                0.41359,                0.21102,                 1.6826,                 1.8172,                 1.9203,              0.0013105,              0.0013105,              0.0013105
                     56,                 1.6393,                  1.749,                 1.7793,                0.38293,                 0.6082,                0.41422,                0.22762,                 1.6925,                 1.9684,                 1.9002,              0.0013039,              0.0013039,              0.0013039
                     57,                 1.6172,                 1.7786,                 1.8084,                0.32009,                0.58071,                0.37936,                0.21049,                 1.6695,                 1.7974,                 1.9155,              0.0012973,              0.0012973,              0.0012973
                     58,                 1.6138,                 1.7629,                 1.7956,                0.34612,                0.58108,                0.39509,                0.21707,                 1.6901,                 1.8178,                 1.8957,              0.0012907,              0.0012907,              0.0012907
